yourlist:M20201204A94466D2655679D1FD8953E075198DA81C4780X	Entry
CETP	A0A0S2Z3F6
CETP	A0A0S2Z3I8
CETP	F4YZX8
CETP	H3BRJ9
CETP	P11597
CETP	Q8IWL9
CETP	Q9H4L8
CFB	A0A0G2JH38
CFB	C9JRT3
CFB	F8WBL9
CFB	H7C526
CFB	H7C5H1
CFB	P00751
CFB	W8VT81
CFH	A0A0D9SG88
CFH	P08603
CFH	Q5TFM2
CFH	U5TZG9
CH25H	O95992
CHAT	A0A1W2PP46
CHAT	A0A1W2PRG4
CHAT	D3DX95
CHAT	P28329
CHAT	Q6LEN5
CHAT	Q6LEN6
CHAT	R4GN13
CHD4	A0A0C4DGG9
CHD4	A0A2R8Y212
CHD4	A0A2R8Y425
CHD4	A0A2R8Y4X2
CHD4	A0A2R8Y512
CHD4	A0A2R8Y521
CHD4	A0A2R8Y539
CHD4	A0A2R8Y5J0
CHD4	A0A2R8Y5M9
CHD4	A0A2R8Y5Z7
CHD4	A0A2R8Y685
CHD4	A0A2R8Y6G9
CHD4	A0A2R8Y795
CHD4	A0A2R8Y7I0
CHD4	A0A2R8Y7M9
CHD4	A0A2R8Y7X1
CHD4	A0A2R8Y8B3
CHD4	A0A2R8Y8C1
CHD4	A0A2R8YD40
CHD4	A0A2R8YDJ9
CHD4	A0A2R8YDW2
CHD4	A0A2R8YE38
CHD4	A0A2R8YER1
CHD4	A0A2R8YFD8
CHD4	A0A2R8YFK9
CHD4	A0A2U3TZM0
CHD4	F5GWX5
CHD4	F5H596
CHD4	F5H6N4
CHD4	Q05CG6
CHD4	Q14839
CHRFAM7A	A0A0A6YYA8
CHRFAM7A	A0A0G2JMC1
CHRFAM7A	A0A0G2JNX5
CHRFAM7A	H3BPP0
CHRFAM7A	Q494W8
CHRM1	F5GZF8
CHRM1	P11229
CHRM1	Q53XZ3
CHRNA2	A0A0X1KG79
CHRNA2	A0A1B0GVX5
CHRNA2	E5RGP6
CHRNA2	E5RGT4
CHRNA2	E5RHQ4
CHRNA2	E5RJ54
CHRNA2	E5RK67
CHRNA2	Q15822
CHRNA3	D3DW87
CHRNA3	H0YNF9
CHRNA3	P32297
CHRNA3	Q6EWN2
CHRNA4	A0A0D9SFU6
CHRNA4	A0A6Q8PG41
CHRNA4	H0YBH1
CHRNA4	P43681
CHRNA4	Q4VAQ3
CHRNA4	Q5EIU9
CHRNA4	Q5EIV0
CHRNA4	Q5RLM1
CHRNA6	E9PP97
CHRNA6	L8ECB0
CHRNA6	Q15825
CHRNA7	A0A1B0GTE0
CHRNA7	A0A1B0GTT0
CHRNA7	A0A1B0GTT9
CHRNA7	A0A1B0GU04
CHRNA7	A0A1B0GU11
CHRNA7	A0A1B0GU56
CHRNA7	A0A1B0GU93
CHRNA7	A0A1B0GUR5
CHRNA7	A0A1B0GV25
CHRNA7	A0A1B0GV43
CHRNA7	A0A1B0GV44
CHRNA7	A0A1B0GV86
CHRNA7	A0A1B0GVH2
CHRNA7	A0A1B0GVI5
CHRNA7	A0A1B0GVN6
CHRNA7	A0A1B0GVP9
CHRNA7	A0A1B0GW47
CHRNA7	A0A1B0GW52
CHRNA7	A0A1B0GWH1
CHRNA7	A0A1W2PN81
CHRNA7	P36544
CHRNA7	Q5W554
CHRNA7	Q693P7
CHRNB2	A0A1B0GTH5
CHRNB2	A0A1B0GUQ6
CHRNB2	A0A1B0GVD7
CHRNB2	P17787
CHRNB2	Q5SXY3
CHRNB4	H3BU02
CHRNB4	P30926
CHST3	Q7LGC8
CLCNKB	A0A087X136
CLCNKB	P51801
CLCNKB	Q5T5Q6
CLCNKB	Q8WW53
CLPTM1	A0A0S2Z3H2
CLPTM1	A0A0S2Z3H6
CLPTM1	K7EJ16
CLPTM1	K7EKQ7
CLPTM1	K7EQQ1
CLPTM1	K7ERL5
CLPTM1	O96005
CLU	E5RG36
CLU	E5RGB0
CLU	E5RH61
CLU	E5RJD6
CLU	E5RJZ5
CLU	E7ERK6
CLU	E7ETB4
CLU	H0YAS8
CLU	H0YC35
CLU	H0YLK8
CLU	P10909
CLU	Q8IWM0
CNTF	P26441
COG2	B1ALW7
COG2	B7Z2Y2
COG2	Q14746
COG2	V9GY21
COL11A1	A0A0U1RRA7
COL11A1	A0A2R8Y4I5
COL11A1	A0A2R8Y4M5
COL11A1	A0A2R8Y5N4
COL11A1	A0A2R8YDU3
COL11A1	C9JMN2
COL11A1	D3DT71
COL11A1	D3DT72
COL11A1	H7C381
COL11A1	P12107
COL11A1	Q4FAC4
COL11A1	Q5IKE6
COL11A1	Q5IKE9
COL11A1	Q5IKF0
COL11A1	Q5XNW0
COL11A1	Q5XNW2
COL25A1	A0A087WZJ5
COL25A1	A0A087X1E1
COL25A1	A0A2R8Y760
COL25A1	A8MWQ5
COL25A1	D6R8Y2
COL25A1	E9PNV9
COL25A1	H0YAE1
COL25A1	Q4W5I4
COL25A1	Q8NE08
COL25A1	Q9BXS0
COMT	A0A1S6YJG6
COMT	A0A286SD53
COMT	A0A4D6GI07
COMT	A0A4D6GI32
COMT	A0A4D6GI39
COMT	A0A4D6GI41
COMT	A0A4D6GI48
COMT	A0A4D6GI63
COMT	A0A4D6GI65
COMT	A0A4D6GI75
COMT	A0A4D6GI82
COMT	A0A4D6GIA3
COMT	A0A4D6GIK3
COMT	A0A4D6GIL3
COMT	A0A4D6GIW7
COMT	A0A4D6GKQ6
COMT	A0A4D6GKX6
COMT	A0A4D6GL01
COMT	A0A4D6GL07
COMT	A0A4D6GL81
COMT	A3F6Y9
COMT	A3F7Q5
COMT	A3F7Q6
COMT	B8XPJ7
COMT	B8XPJ8
COMT	E7EMS6
COMT	E7EUU8
COMT	F2WW53
COMT	F2WW55
COMT	F8WBW9
COMT	H7BZ45
COMT	P21964
COX10	A0A590UJJ5
COX10	H7C101
COX10	J3KRW4
COX10	J3KSJ3
COX10	Q12887
COX15	Q7KZN9
CPE	C9JE88
CPE	D6R930
CPE	D6RF88
CPE	H0YAM0
CPE	P16870
CR1	A0A2S1GUW1
CR1	A0A2S1GUW8
CR1	A0A346RCT4
CR1	A0A346RD54
CR1	A0A346RD63
CR1	A0A346RD80
CR1	A0A346RD82
CR1	E9PDY4
CR1	E9PQN4
CR1	H0YE06
CR1	P17927
CR1	Q5SBJ5
CR1	Q5SBJ6
CR1	Q5SBJ7
CR1	Q5SBJ8
CR1	Q5SBJ9
CR1	Q5SBK0
CR1	Q5SBK1
CR1	Q5SBK2
CR1	Q5SBK3
CR1	Q5SBK4
CR1	Q5SBK5
CR1	Q5SBK6
CR1	Q5SR44
CR1	Q9HB98
CR1	Q9HB99
CR1	Q9HC54
CR1	Q9HC55
CR1	V6EYC3
CRH	A0A0S2Z3P5
CRH	A0A0S2Z478
CRH	P06850
CRHBP	D6RHH7
CRHBP	P24387
CRP	C9JRE9
CRP	P02741
CRP	Q5VVP7
CSF1	A0A024R0A1
CSF1	E9PJA2
CSF1	E9PKP4
CSF1	E9PQ08
CSF1	H7BY18
CSF1	P09603
CSK	B2R6Q4
CSK	B5BU52
CSK	H3BN15
CSK	H3BU69
CSK	H3BUM9
CSK	P41240
CSN1S1	A0A0J9YVR3
CSN1S1	D6RF34
CSN1S1	E9PDQ1
CSN1S1	H0Y8K1
CSN1S1	P47710
CST3	P01034
CTSD	A0A0S2Z3L4
CTSD	A0A1B0GV01
CTSD	A0A1B0GV23
CTSD	A0A1B0GVD5
CTSD	A0A1B0GVP3
CTSD	A0A1B0GW44
CTSD	A0A1B0GWE8
CTSD	C9JH19
CTSD	F8W787
CTSD	F8WD96
CTSD	H7C1V0
CTSD	P07339
CTSD	V9HWI3
CTSG	P08311
CTSS	P25774
CTSS	U3KPS4
CTSS	U3KQE7
CXCL1	P09341
CXCL10	P02778
CXCL12	A0A024R7W4
CXCL12	P48061
CYP17A1	A0A1L7H7K7
CYP17A1	A0A1L7H7L1
CYP17A1	A0A1L7H7S6
CYP17A1	A0A1W2PQ28
CYP17A1	A0A1W2PQT5
CYP17A1	A0A1W2PRK7
CYP17A1	A0A1W2PRY0
CYP17A1	C7F7K7
CYP17A1	P05093
CYP17A1	Q1HB44
CYP19A1	A0A024R5S8
CYP19A1	A0A087WVQ0
CYP19A1	E7EPL6
CYP19A1	E7EQ08
CYP19A1	E9PGZ6
CYP19A1	H0YK57
CYP19A1	H0YKN1
CYP19A1	H0YLP1
CYP19A1	H0YLS2
CYP19A1	H0YNJ7
CYP19A1	P11511
CYP19A1	Q05CU4
CYP19A1	Q45RG7
CYP19A1	Q7Z471
CYP19A1	Q8IYG4
CYP1A1	A0N0X8
CYP1A1	A4F3V8
CYP1A1	A4F4K3
CYP1A1	A4F4K4
CYP1A1	E7EMT5
CYP1A1	P04798
CYP1A1	Q0VHD5
CYP1A1	Q5J9B1
CYP2C19	A0A087X125
CYP2C19	A0A2D1BII0
CYP2C19	A0A2D1BPP2
CYP2C19	B0ZDM8
CYP2C19	P33261
CYP2C19	Q767A3
CYP2C8	A0A0D9SG51
CYP2C8	B7Z1F5
CYP2C8	E9PIW6
CYP2C8	E9PLI9
CYP2C8	G3V188
CYP2C8	P10632
CYP2D6	A0A0F7KYR9
CYP2D6	A0A0F7KZW3
CYP2D6	A0A0F7L0X4
CYP2D6	A0A0G2JLK7
CYP2D6	A0A0G2JSD7
CYP2D6	A0A1B0GU72
CYP2D6	A0A1B0GUD8
CYP2D6	A0A1B0GV74
CYP2D6	A0A2L1K0E8
CYP2D6	A0A2L1K0F2
CYP2D6	A0A2L1K0F5
CYP2D6	A0A2L1K0F9
CYP2D6	A0A2L1K0G2
CYP2D6	A0A2L1K0G7
CYP2D6	A0A2L1K0H3
CYP2D6	A0A2L1K0H6
CYP2D6	A0A2L1K0H8
CYP2D6	A0A2L1K0H9
CYP2D6	A0A2L1K0I9
CYP2D6	A0A2L1K0M4
CYP2D6	A9QKR9
CYP2D6	C1ID52
CYP2D6	C1ID54
CYP2D6	C4MDQ5
CYP2D6	D0U5L8
CYP2D6	D3IP03
CYP2D6	D3IP04
CYP2D6	D3IP05
CYP2D6	D5KMQ2
CYP2D6	D5KMR1
CYP2D6	D5KMS0
CYP2D6	D5KMU5
CYP2D6	D5KMU6
CYP2D6	D5KMZ1
CYP2D6	D5KN01
CYP2D6	D5KN10
CYP2D6	D5KN50
CYP2D6	D5KN61
CYP2D6	D5KN64
CYP2D6	D5KNB5
CYP2D6	D5KND2
CYP2D6	E7ENE7
CYP2D6	G9CGD2
CYP2D6	H7BY38
CYP2D6	I1VC92
CYP2D6	I1VC93
CYP2D6	P10635
CYP2D6	Q007T8
CYP2D6	Q007T9
CYP2D6	Q2XND0
CYP2D6	Q2XND2
CYP2D6	Q2XND3
CYP2D6	Q2XND8
CYP2D6	Q38LF9
CYP2D6	Q38LG0
CYP2D6	Q38LG2
CYP2D6	Q3KPF3
CYP2D6	Q6ICD8
CYP2D6	Q6NWU0
CYP2D6	W5QSH4
CYP39A1	A0A087WTD2
CYP39A1	Q9NYL5
CYP46A1	G3V366
CYP46A1	H0YJI0
CYP46A1	H0YJU5
CYP46A1	Q9Y6A2
CYP4F3	A0A024R7I2
CYP4F3	A0A024R7J8
CYP4F3	K7EJZ8
CYP4F3	Q08477
CYP4F3	V9GYA1
DAPK1	A0T398
DAPK1	F8WCQ3
DAPK1	P53355
DBH	P09172
DBH	Q5T382
DFNB31	B9EGE6
DFNB31	Q9P202
DGKB	B5MBY2
DGKB	B5MCD5
DGKB	B7ZL83
DGKB	C9JA18
DGKB	Q9Y6T7
DHCR24	A0A0A0MTI1
DHCR24	A0A3B3IRV7
DHCR24	A0A3B3ISR5
DHCR24	A0A3B3IT58
DHCR24	A0A3B3ITT9
DHCR24	Q15392
DKK1	I1W660
DKK1	O94907
DLD	A0A024R713
DLD	A0A1W2PR83
DLD	E9PEX6
DLD	F2Z2E3
DLD	F8WDM5
DLD	F8WDY5
DLD	P09622
DLST	A0A024R6C9
DLST	B7ZAZ8
DLST	G3V3F0
DLST	G3V498
DLST	G3V5L9
DLST	G3V5M3
DLST	H0YJF9
DLST	P36957
DLST	Q6IBS5
DLST	Q86SW4
DLST	Q86TQ8
DLST	Q86TW7
DNAJC12	Q6IAH1
DNAJC12	Q9UKB3
DNAJC12	S4R368
DNAJC12	S4R3E2
DNAJC12	S4R3W0
DNM2	A0A024R7C9
DNM2	K7EMQ3
DNM2	K7EMR9
DNM2	K7ENE7
DNM2	K7EPK9
DNM2	P50570
DNM2	Q9UPH5
DNMBP	A0A1B0GTX1
DNMBP	A0A1C7CYY6
DNMBP	A0A2X0U4N6
DNMBP	Q6XZF7
DOPEY2	Q9Y3R5
DPYS	E5RG28
DPYS	H0YEV7
DPYS	Q14117
DRD3	A1A4V4
DRD3	E9PCM4
DRD3	P35462
DRD3	Q13167
DRD3	Q9BXX6
DRD3	Q9NY31
DRD3	X5D2G4
DRD3	X5DP70
DRD4	A4LB49
DRD4	A4LB54
DRD4	A4LB56
DRD4	A4LBB9
DRD4	F6K0T3
DRD4	F6K0T7
DRD4	F6K0T8
DRD4	F6K0T9
DRD4	F6K0U0
DRD4	G5CTX6
DRD4	G9HV62
DRD4	G9HV63
DRD4	G9HV64
DRD4	G9HV65
DRD4	K9MAQ3
DRD4	K9MAQ4
DRD4	K9MAQ5
DRD4	K9MAU6
DRD4	K9MAU8
DRD4	K9MAZ0
DRD4	K9MAZ1
DRD4	K9MB44
DRD4	K9MB45
DRD4	K9MB71
DRD4	K9MB72
DRD4	P21917
DRD4	Q0MTB8
DRD4	Q0MTB9
DRD4	Q76E76
DRD4	Q8IZB1
DRD4	Q8IZB2
DRD4	Q8IZB3
DRD4	Q8IZB4
DRD4	Q8IZB5
DRD4	Q8IZB6
DRD4	Q8IZB7
DRD4	Q8IZB8
DRD4	Q8IZB9
DRD4	Q8IZC0
DRD4	Q8WTQ0
DRD4	Q8WTQ5
DRD4	Q8WTR3
DRD4	Q8WTR5
DRD4	Q8WTR9
DRD4	Q8WTS5
DRD4	Q8WTS7
DRD4	Q8WTT3
DRD4	Q8WTT6
DRD4	Q8WTT7
DRD4	Q8WXL5
DRD4	Q8WXL6
DRD4	Q8WXL7
DRD4	Q8WXL8
DRD4	Q8WXL9
DRD4	Q8WXM0
DRD4	Q8WXM1
DRD4	Q8WXM3
DRD4	Q8WXM4
DRD4	Q8WXM5
DRD4	Q8WXM6
DRD4	Q8WXM7
DRD4	Q8WXM8
DRD4	Q8WXM9
DRD4	Q8WXN0
DRD4	Q8WXN1
DRD4	Q8WXN2
DRD4	Q8WXN3
DRD4	Q8WXN4
DRD4	Q8WXN5
DRD4	Q8WXN6
DRD4	Q8WXN7
DRD4	Q8WXN8
DRD4	Q8WXN9
DRD4	Q8WXP0
DRD4	Q8WXP1
DRD4	Q8WXP2
DRD4	Q8WXP3
DRD4	Q8WXP4
DRD4	Q8WXP5
DRD4	Q8WXP6
DRD4	Q8WXP7
DSC1	P53805
DSC1	Q08554
DSC1	Q9HB00
DVL1	A0A024R080
DVL1	A0A087WWA7
DVL1	A0A0J9YWZ5
DVL1	A0A0J9YYK1
DVL1	O14640
DVL1	P54792
DVL1	Q6PJD6
DVL1	Q86TH3
DYRK1A	A0A2R8Y443
DYRK1A	A0A2R8Y6I6
DYRK1A	A0A2R8Y6L5
DYRK1A	A0A2R8YDF3
DYRK1A	A0A2R8YEY4
DYRK1A	E7EMI5
DYRK1A	N0GVR9
DYRK1A	Q13627
EBF3	H0Y3W9
EBF3	Q9H4W6
EBP	A0A024QYX0
EBP	C9J719
EBP	C9JJ78
EBP	Q15125
ECE1	A0A024RAB0
ECE1	A0A024RAB2
ECE1	A0A3B3ISF9
ECE1	A1PUP8
ECE1	B4DKB2
ECE1	E9PHZ1
ECE1	E9PJG1
ECE1	E9PN99
ECE1	P42892
ECHS1	A0A384MDW7
ECHS1	P30084
EFEMP1	A0A0S2Z3V1
EFEMP1	A0A0S2Z4F1
EFEMP1	A0A0U1RQV3
EFEMP1	A0A0U1RRL0
EFEMP1	C9J4H7
EFEMP1	C9J4J8
EFEMP1	C9J8S9
EFEMP1	C9JPZ9
EFEMP1	C9JQX7
EFEMP1	C9JUM4
EFEMP1	Q12805
EFEMP1	Q53TA7
EFEMP1	Q580Q6
EFNA5	A0A087X240
EFNA5	D6RDV5
EFNA5	L8E7B5
EFNA5	L8E8V0
EFNA5	P52803
EGR2	A0A0S2Z3Q5
EGR2	A0A0S2Z3U4
EGR2	A0A1B0GUL0
EGR2	P11161
EIF2AK2	B7ZKK7
EIF2AK2	C9JZT2
EIF2AK2	F8WBH4
EIF2AK2	P19525
EIF2AK2	Q05CP4
EIF2AK2	Q6PK38
EIF2AK2	Q8IW76
ENPP1	A0A3B3ISN7
ENPP1	A0A3B3IST7
ENPP1	A0A3B3IU14
ENPP1	E9PE72
ENPP1	P22413
ENPP2	E5RIA2
ENPP2	E5RIB9
ENPP2	E5RJ49
ENPP2	E7EUF1
ENPP2	L8ECC9
ENPP2	Q13822
ENTPD7	Q9NQZ7
ENTPD7	S4R3B9
EPC2	C9J1X4
EPC2	E7ETK1
EPC2	E9PBA8
EPC2	H7C0K5
EPC2	Q52LR7
EPHA1	L8EAE3
EPHA1	P21709
EPHA4	A1MA61
EPHA4	C9JEM6
EPHA4	C9JFX5
EPHA4	C9JIX8
EPHA4	E9PG71
EPHA4	F5GZZ5
EPHA4	F8WBU0
EPHA4	H7C1N8
EPHA4	H7C2W7
EPHA4	P54764
EPHA4	Q53TA0
EPHA4	Q584H6
EPHA4	Q58F15
ERCC2	A0A1B1PFW1
ERCC2	A8MX75
ERCC2	B4E0F6
ERCC2	E7EVE9
ERCC2	K7EIT8
ERCC2	K7EKF3
ERCC2	K7ENL1
ERCC2	P18074
ERCC2	Q2TB79
ERCC4	A0A1W1GSK9
ERCC4	A0A1W1GSL6
ERCC4	A0A1W1GSP5
ERCC4	A0A1W1GST9
ERCC4	A0PJA9
ERCC4	I3L4K0
ERCC4	I3NI48
ERCC4	Q92889
ESR1	A0A125SXV6
ESR1	A0A125SXV7
ESR1	A0A125SXV8
ESR1	A0A125SXV9
ESR1	A0A125SXW0
ESR1	A0A125SXW1
ESR1	A0A125SXW2
ESR1	A0A125SXW3
ESR1	A0A1W2PP92
ESR1	A0A3G1VCY8
ESR1	A0A4P8D7D1
ESR1	A0A679EM68
ESR1	B0QYW7
ESR1	B5LY05
ESR1	B5M0Y2
ESR1	B5TKC0
ESR1	B5TKC1
ESR1	B5TKC2
ESR1	B5TZ77
ESR1	B5TZ78
ESR1	B5TZ79
ESR1	B5TZ80
ESR1	B5TZ81
ESR1	B5TZ82
ESR1	B5TZ83
ESR1	B6DP71
ESR1	B6DP72
ESR1	B6DP73
ESR1	B6DP74
ESR1	B6DP75
ESR1	B6DU66
ESR1	B6DU67
ESR1	B6DU68
ESR1	B6DU69
ESR1	B6DU70
ESR1	C0L927
ESR1	C0LJA7
ESR1	C0LJA8
ESR1	C0LJA9
ESR1	C0LLI5
ESR1	C0LLI6
ESR1	C0LLI7
ESR1	C0LLI8
ESR1	C0LLI9
ESR1	C7FFR5
ESR1	C8CD01
ESR1	C8CJK8
ESR1	C8CJK9
ESR1	C8CJL0
ESR1	C8CJL1
ESR1	C8CJL2
ESR1	C8CJL3
ESR1	C8CJL4
ESR1	C8CJL5
ESR1	C8CJL6
ESR1	C9E0E9
ESR1	C9E0F0
ESR1	C9E0F1
ESR1	C9E0F2
ESR1	C9E0F3
ESR1	E3WH18
ESR1	E3WH19
ESR1	G4XH65
ESR1	H0Y4W6
ESR1	K4PX46
ESR1	K4PXX0
ESR1	K4Q331
ESR1	K7R989
ESR1	L8E8A8
ESR1	P03372
ESR1	Q0H8T6
ESR1	Q5T5H8
ESR1	Q9H1Z6
ESR1	Q9H2M1
ESR1	Q9H2M2
ESR1	Q9UE35
ESR2	A0A348FV91
ESR2	A0A348FV92
ESR2	A0A348FV93
ESR2	A0A348FV94
ESR2	A0A348FV95
ESR2	A0A348FV96
ESR2	A0A348FV97
ESR2	A0A348FV98
ESR2	A0A679EN27
ESR2	F1D8N3
ESR2	G3V5S2
ESR2	Q7LCB3
ESR2	Q92731
EXOC3L2	A0A1C7CYX0
EXOC3L2	Q2M3D2
F11R	A0A087WY82
F11R	D3DVF0
F11R	Q6FIB4
F11R	Q9Y624
F13A1	A0A2H0
F13A1	A6PVK5
F13A1	H0Y4W5
F13A1	H0Y796
F13A1	P00488
F13A1	Q9NQP5
F13A1	Q9NZ69
FABP2	P12104
FABP4	E5RIR0
FABP4	E7DVW4
FABP4	P15090
FADD	Q13158
FADD	Q6LCB0
FADD	Q6LCG1
FAM113B	A0A024R115
FAM113B	Q96HM7
FAM63A	D3DV11
FAM63A	Q8N5J2
FAS	A0A087WTM9
FAS	E6Y7C3
FAS	E6Y7C4
FAS	F0UWG7
FAS	H7C5Z8
FAS	K9J972
FAS	P25445
FAS	P49327
FAS	Q9UET8
FAS	S5PSV7
FAS	S5PZ57
FBP1	A0A3B3IUC7
FBP1	P09467
FBP1	Q2TU34
FBP1	Q5VZC3
FCER1G	A6NCQ8
FCER1G	P30273
FDPS	A0A087WTP2
FDPS	A0A087WVN4
FDPS	A0A087X090
FDPS	A0A087X1D8
FDPS	L8EC92
FDPS	P14324
FGF1	B5MCF4
FGF1	C9JDC5
FGF1	C9JUP6
FGF1	D3DQF1
FGF1	L8ECL8
FGF1	P05230
FGL2	A0A1B0GVK0
FGL2	A4D1B8
FGL2	Q14314
FLOT1	A0A0G2JJQ6
FLOT1	A0A140T905
FLOT1	A0A140T907
FLOT1	A0A140T910
FLOT1	A0A140T957
FLOT1	A0A140T959
FLOT1	A0A140T974
FLOT1	A0A140T9B1
FLOT1	A0A140T9C3
FLOT1	A0A140T9H7
FLOT1	A0A140T9L9
FLOT1	A0A140T9R1
FLOT1	A0A140T9W4
FLOT1	A0A140T9X0
FLOT1	A2AB09
FLOT1	A2AB10
FLOT1	A2AB11
FLOT1	A2AB12
FLOT1	A2AB13
FLOT1	A2ABJ5
FLOT1	A2VCL5
FLOT1	O75955
FLOT1	Q5ST80
FLOT1	Q6IB58
FOS	A0A0K0TMT5
FOS	A0A0K0TMT7
FOS	A0A0K0TMV9
FOS	G3V289
FOS	G3V2V7
FOS	G3V5J9
FOS	G3V5N7
FOS	G3V5N9
FOS	H0YJM3
FOS	P01100
FOS	Q6FG41
FOXO3	O43524
FTSJ3	J3KRY4
FTSJ3	J3KS36
FTSJ3	J3KS74
FTSJ3	J3QKT6
FTSJ3	J3QR05
FTSJ3	J3QRS5
FTSJ3	J3QSE2
FTSJ3	Q8IY81
FYN	E5RFM0
FYN	E5RFM4
FYN	E5RFM6
FYN	E5RFS5
FYN	E5RGM6
FYN	E5RGT0
FYN	E5RH71
FYN	E5RHF7
FYN	E5RHX7
FYN	E5RI25
FYN	E5RIX5
FYN	E5RJX7
FYN	E5RK23
FYN	P06241
FYN	P78484
FYN	Q14342
GAB2	E9PJ26
GAB2	E9PJE2
GAB2	Q9UQC2
GAL	P22466
GAL	Q8N6F7
GALP	Q9UBC7
GAPDH	E7EUT5
GAPDH	P04406
GAPDH	Q0QET7
GAPDHS	K7EMB2
GAPDHS	K7EP73
GAPDHS	O14556
GBA	A0A068F658
GBA	A0A0G2JLB3
GBA	A0A0G2JNZ0
GBA	A0A0G2JNZ5
GBA	D3DV87
GBP2	A0A348GSI7
GBP2	P32456
GBP2	Q8TCE5
GC	A0A0D3S2Q0
GC	A0A1B1CYC5
GC	A0A1B1CYC8
GC	A0A1B1CYC9
GC	D6RBJ7
GC	D6RF20
GC	D6RF35
GC	P02774
GBA,GC	P04062
GC	P38435
GCK	A0A5F9ZGW4
GCK	A0A5F9ZHE0
GCK	A7LFL1
GCK	C9JQD1
GCK	H7BXV0
GCK	L0HBA3
GCK	M4PPE1
GCK	M4PPE6
GCK	M4PPI4
GCK	M4PPI9
GCK	M4PS72
GCK	M4PS76
GCK	M4PS83
GCK	M4PT45
GCK	M4Q000
GCK	M4Q005
GCK	M4Q009
GCK	P35557
GCK	Q12851
GCK	Q53Y25
GLO1	Q04760
GLO1	X5DNM4
GLOD4	F6TLX2
GLOD4	I3L1F4
GLOD4	I3L1I0
GLOD4	I3L277
GLOD4	I3L2C2
GLOD4	I3L3G0
GLOD4	I3L3Q4
GLOD4	I3NI24
GLOD4	I3NI27
GLOD4	K7ENF2
GLOD4	Q9HC38
GLP1R	A0A024RCW9
GLP1R	A0A142FHB8
GLP1R	P43220
GMEB1	B1AT47
GMEB1	Q9Y692
GMEB2	L8ECE2
GMEB2	Q5JTV1
GMEB2	Q9UKD1
GNA11	A0A087WVZ3
GNA11	K7EL62
GNA11	P29992
GNB3	A0A6Q8PF84
GNB3	E9PCP0
GNB3	F1T0G4
GNB3	F1T0G5
GNB3	F5GZN8
GNB3	F5H0S8
GNB3	F5H100
GNB3	F5H8J8
GNB3	P16520
GOLM1	C9J941
GOLM1	C9JYM4
GOLM1	F8WAT9
GOLM1	Q8NBJ4
GOT1	P17174
GPD1	A0A024R138
GPD1	F8VSE8
GPD1	P21695
GRB10	A0A2R8Y6Q4
GRB10	A0A2R8YCL1
GRB10	C9JTW6
GRB10	H7C3B9
GRB10	Q13322
GRB10	Q75M93
GRB10	Q75MT1
GRB14	C9JD37
GRB14	C9JLT6
GRB14	Q14449
GRB14	Q53QM9
GRB14	Q53QQ0
GRB2	B0LPF3
GRB2	J3KT38
GRB2	J3QLF6
GRB2	J3QRL5
GRB2	P62993
GRB2	Q6ICN0
GRB7	A0A0S2Z3V3
GRB7	A0A0S2Z4F6
GRB7	J3QKK7
GRB7	J3QL76
GRB7	Q14451
GRIN2B	A0A0D9SFA0
GRIN2B	A0A0D9SFK0
GRIN2B	A0A1B0GU78
GRIN2B	Q13224
GRIN3A	A2RUE7
GRIN3A	Q8TCU5
GRIN3B	O60391
GRIN3B	Q5F0I4
GRIN3B	Q5F0I5
GRN	K7EJY4
GRN	K7EK92
GRN	K7EKL3
GRN	K7ELY1
GRN	K7EM89
GRN	K7EMR1
GRN	K7ENI2
GRN	K7ENN1
GRN	K7EPL0
GRN	K7EQ05
GRN	K7EQA7
GRN	K7EQI0
GRN	K7EQK6
GRN	K7ERM2
GRN	P28799
GSK3B	A0A3B3ITW1
GSK3B	B5BUC0
GSK3B	P49841
GSK3B	Q6FI27
GSK3B	Q86TM2
GSTM1	B9ZVX7
GSTM1	E7EWW9
GSTM1	H3BQT3
GSTM1	H3BRM6
GSTM1	P09488
GSTM1	Q16041
GSTM1	X5D7U4
GSTM1	X5D932
GSTM1	X5DNN9
GSTM1	X5DR03
GSTM3	A0A0A0MTN3
GSTM3	A4UJ43
GSTM3	P21266
GSTM3	Q6FGJ9
GSTM4	A0A0A0MR85
GSTM4	A0A1W2PNX1
GSTM4	A6NNT0
GSTM4	Q03013
GSTO1	P78417
GSTO1	Q5TA01
GSTO1	Q5TA02
GSTO1	V9HWG9
GSTO2	Q9H4Y5
GSTP1	A0A087X243
GSTP1	A0A087X2E9
GSTP1	A0A0M4UT83
GSTP1	A0A0M5MRY8
GSTP1	A0A2P1FDF0
GSTP1	A0A2R8Y5E5
GSTP1	A0A3B6XSH2
GSTP1	A8MX94
GSTP1	B2C310
GSTP1	C7DJS1
GSTP1	C7DJS2
GSTP1	P09211
GSTP1	Q5D6A5
GSTP1	V9HWE9
GSTT1	A0A0G2JMS2
GSTT1	A0A0G2JQD2
GSTT1	A0A0G2JQD8
GSTT1	A0A0G2JQM0
GSTT1	A0A0G2JRG0
GSTT1	A0A0G2JRJ5
GSTT1	A0A0G2JRN4
GSTT1	A0A0G2JRQ5
GSTT1	A0A1B0GXB6
GSTT1	P30711
GSTT1	Q4GZS9
GSTT1	Q4W251
GSTT1	Q4W252
GSTZ1	A0A0A0MR33
